Date,Close
23/06/2015,461.450012
24/06/2015,452
25/06/2015,457.899994
26/06/2015,455.149994
29/06/2015,444
30/06/2015,451.399994
01/07/2015,453
02/07/2015,455.799988
03/07/2015,452
06/07/2015,441
07/07/2015,445
08/07/2015,444.850006
09/07/2015,441.049988
10/07/2015,454.200012
13/07/2015,458.5
14/07/2015,465.200012
15/07/2015,461.350006
16/07/2015,459
17/07/2015,465.799988
20/07/2015,479.899994
21/07/2015,485
22/07/2015,465.149994
23/07/2015,488
24/07/2015,497
27/07/2015,492
28/07/2015,479.299988
29/07/2015,492
30/07/2015,491.799988
31/07/2015,492
03/08/2015,499.200012
04/08/2015,515
05/08/2015,515.5
06/08/2015,506.200012
07/08/2015,522
10/08/2015,509
11/08/2015,505.5
12/08/2015,496
13/08/2015,479
14/08/2015,497.5
17/08/2015,504.700012
18/08/2015,502
19/08/2015,495.950012
20/08/2015,492
21/08/2015,466
24/08/2015,442.25
25/08/2015,435
26/08/2015,432
27/08/2015,440
28/08/2015,449
31/08/2015,435.549988
01/09/2015,433.100006
02/09/2015,428
03/09/2015,408
04/09/2015,421
07/09/2015,413
08/09/2015,406
09/09/2015,424.899994
10/09/2015,420.950012
11/09/2015,435.799988
14/09/2015,428.950012
15/09/2015,440
16/09/2015,440
18/09/2015,447
21/09/2015,432
22/09/2015,452
23/09/2015,428
24/09/2015,434.799988
28/09/2015,429.700012
29/09/2015,420
30/09/2015,457
01/10/2015,475
05/10/2015,467.5
06/10/2015,485.799988
07/10/2015,479
08/10/2015,485
09/10/2015,480.25
12/10/2015,479.850006
13/10/2015,481
14/10/2015,477
15/10/2015,486.5
16/10/2015,497.700012
19/10/2015,494.5
20/10/2015,478
21/10/2015,475
23/10/2015,484.899994
26/10/2015,481
27/10/2015,487
28/10/2015,491.399994
29/10/2015,492.799988
30/10/2015,489
02/11/2015,478.100006
03/11/2015,481.799988
04/11/2015,485
05/11/2015,481.5
06/11/2015,459.450012
09/11/2015,454
10/11/2015,474
13/11/2015,466
16/11/2015,460.200012
17/11/2015,473.299988
18/11/2015,465.899994
19/11/2015,461.5
20/11/2015,462
23/11/2015,466.25
24/11/2015,465.600006
26/11/2015,477
27/11/2015,475.299988
30/11/2015,483.149994
01/12/2015,485.399994
02/12/2015,487
03/12/2015,477.899994
04/12/2015,465
07/12/2015,462
08/12/2015,460.25
09/12/2015,461
10/12/2015,451.100006
11/12/2015,463
